train_no,train_name,src_station,dest_station,departure_time,arrival_time,day_offset,classes,avg_delay_mins,availability_status,confirmation_prob
12294,Prayagraj Duronto,PRYJ,CSMT,20:10,14:40,1,"['1A', '2A', '3A']",10,AVAILABLE-0012,0.96
12280,Taj Express,NDLS,AGC,06:55,09:40,0,"['CC', '2S']",10,AVAILABLE-0080,0.97
12722,Dakshin Express,AGC,BPL,12:00,19:40,0,"['1A', '2A', '3A', 'SL']",20,AVAILABLE-0035,0.92
12721,Dakshin Express (Return),BPL,AGC,07:30,15:00,0,"['1A', '2A', '3A', 'SL']",20,AVAILABLE-0030,0.92
12279,Taj Express (Return),AGC,NDLS,18:00,21:00,0,"['CC', '2S']",10,AVAILABLE-0075,0.97
12004,Taj Shatabdi,NDLS,GWL,06:15,09:30,0,"['EC', 'CC']",10,AVAILABLE-0050,0.96
11126,Gwalior Bhopal Intercity,GWL,BPL,11:45,17:15,0,"['2A', '3A', 'SL']",15,AVAILABLE-0025,0.91
11125,Bhopal Gwalior Intercity,BPL,GWL,08:15,13:45,0,"['2A', '3A', 'SL']",15,AVAILABLE-0028,0.91
12003,Taj Shatabdi (Return),GWL,NDLS,16:00,19:15,0,"['EC', 'CC']",10,AVAILABLE-0045,0.96
22464,Bundelkhand SF Express,NDLS,VGLJ,07:00,11:30,0,"['2A', '3A', 'SL']",15,AVAILABLE-0045,0.93
12184,Jhansi Bhopal Express,VGLJ,BPL,13:30,18:20,0,"['2A', '3A', 'SL']",15,AVAILABLE-0030,0.9
12183,Bhopal Jhansi Express,BPL,VGLJ,09:00,13:50,0,"['2A', '3A', 'SL']",15,AVAILABLE-0032,0.9
22463,Bundelkhand SF (Return),VGLJ,NDLS,15:30,20:00,0,"['2A', '3A', 'SL']",15,AVAILABLE-0040,0.93
12060,Kota Janshatabdi,NDLS,KOTA,12:45,18:15,0,"['CC', '2S']",10,AVAILABLE-0065,0.95
19804,Kota Bhopal Passenger Express,KOTA,BPL,20:00,02:30,1,"['2A', '3A', 'SL']",25,AVAILABLE-0020,0.88
19803,Bhopal Kota Passenger Express,BPL,KOTA,06:00,12:30,0,"['2A', '3A', 'SL']",25,AVAILABLE-0022,0.88
12059,Kota Janshatabdi (Return),KOTA,NDLS,14:30,20:05,0,"['CC', '2S']",10,AVAILABLE-0060,0.95
12742,Goa Superfast Express,BPL,MAO,16:40,09:30,1,"['1A', '2A', '3A', 'SL']",25,AVAILABLE-0024,0.94
12741,Goa Superfast Return,MAO,BPL,18:00,11:15,1,"['1A', '2A', '3A', 'SL']",25,AVAILABLE-0020,0.92
12951,Mumbai Rajdhani (Up),CSMT,NDLS,17:00,08:35,1,"['1A', '2A', '3A']",15,AVAILABLE-0020,0.95
12139,Punjab Mail (Up),CSMT,NDLS,19:35,21:10,1,"['1A', '2A', '3A', 'SL']",40,AVAILABLE-0010,0.88
